Sensor,Time/s,Reading
DN2 + DN4,73,-8.58
DN2 + DN4,74,-211.58
DN2 + DN4,75,63.42
DN2 + DN4,76,215.75
DN2 + DN4,77,-18.25
DN2 + DN4,78,-367.25
DN2 + DN4,79,-209.58
DN2 + DN4,80,217.75
DN2 + DN4,81,70.75
DN2 + DN4,82,-177.58
DN2 + DN4,83,631.09
DN2 + DN4,84,-286.25
DN2 + DN4,85,172.42
DN2 + DN4,86,573.75
DN2 + DN4,87,-6.91
DN2 + DN4,88,-274.25
DN2 + DN4,89,108.75
DN2 + DN4,90,438.75
DN2 + DN4,91,156.42
DN2 + DN4,92,-631.58
DN2 + DN4,93,-112.91
DN2 + DN4,94,-402.58
DN2 + DN4,95,-397.25
DN2 + DN4,96,-266.58
DN2 + DN4,97,624.42
DN2 + DN4,98,99.42
DN2 + DN4,99,-183.91
DN2 + DN4,0,3760.23
DN2 + DN4,1,2190.57
DN2 + DN4,2,-667.1
DN2 + DN4,3,-349.43
DN2 + DN4,4,-357.77
DN2 + DN4,5,-8.77
DN2 + DN4,6,0.9
DN2 + DN4,7,29.57
DN2 + DN4,8,505.9
DN2 + DN4,9,1108.9
DN2 + DN4,10,-448.77
DN2 + DN4,11,-755.43
DN2 + DN4,12,-1161.1
DN2 + DN4,13,-1283.1
DN2 + DN4,14,727.9
DN2 + DN4,15,-168.43
DN2 + DN4,16,1150.57
DN2 + DN4,17,-1046.1
DN2 + DN4,18,-1008.43
DN2 + DN4,19,1507.23
DN2 + DN4,20,47.23
DN2 + DN4,21,-1980.1
DN2 + DN4,22,-1794.43
DN2 + DN4,23,-1983.77
DN2 + DN4,24,-608.77
DN2 + DN4,25,-196.1
DN2 + DN4,26,171.9
DN2 + DN4,27,-767.1
DN2 + DN4,28,-142.1
DN2 + DN4,29,530.57
DN2 + DN4,30,-990.1
DN2 + DN4,31,-1534.43
DN2 + DN4,32,-1399.77
DN2 + DN4,33,1276.23
DN2 + DN4,34,-860.43
DN2 + DN4,35,-1420.1
DN2 + DN4,36,-842.77
DN2 + DN4,37,1053.23
DN2 + DN4,38,2228.57
DN2 + DN4,39,962.23
DN2 + DN4,40,5.23
DN2 + DN4,41,132.57
DN2 + DN4,42,90.9
DN2 + DN4,43,133.57
DN2 + DN4,44,-1426.1
DN2 + DN4,45,-666.77
DN2 + DN4,46,-659.43
DN2 + DN4,47,-3092.77
DN2 + DN4,48,-2099.1
DN2 + DN4,49,-47.1
DN2 + DN4,50,215.23
DN2 + DN4,51,-1310.43
DN2 + DN4,52,-941.77
DN2 + DN4,53,130.23
DN2 + DN4,54,565.57
DN2 + DN4,55,242.9
DN2 + DN4,56,-996.1
DN2 + DN4,57,-858.1
DN2 + DN4,58,-1178.77
DN2 + DN4,59,913.57
DN2 + DN4,60,246.23
DN2 + DN4,61,692.57
DN2 + DN4,62,79.57
DN2 + DN4,63,1928.57
DN2 + DN4,64,127.57
DN2 + DN4,65,-275.1
DN2 + DN4,66,9.23
DN2 + DN4,67,-127.43
DN2 + DN4,68,99.57
DN2 + DN4,69,21.57
DN2 + DN4,70,-161.77
DN2 + DN4,71,-53.77
DN2 + DN4,72,6.23
DN2 + DN4,73,1.23
DN2 + DN4,74,-472.1
DN2 + DN4,75,-377.77
DN2 + DN4,76,-13.1
DN2 + DN4,77,-477.1
DN2 + DN4,78,-167.43
DN2 + DN4,79,-172.77
DN2 + DN4,80,-180.77
DN2 + DN4,81,117.23
DN2 + DN4,82,-22.1
DN2 + DN4,83,-45.43
DN2 + DN4,84,-160.1
DN2 + DN4,85,332.23
DN2 + DN4,86,113.9
DN2 + DN4,87,-175.1
DN2 + DN4,88,-48.77
DN2 + DN4,89,-121.77
DN2 + DN4,90,-51.1
DN2 + DN4,91,-114.1
DN2 + DN4,92,160.23
DN2 + DN4,93,117.57
DN2 + DN4,94,954.57
DN2 + DN4,95,-105.43
DN2 + DN4,96,308.9
DN2 + DN4,97,113.9
DN2 + DN4,98,127.57
DN2 + DN4,99,187.9
DN2 + DN4,0,109.43
DN2 + DN4,1,-73.57
DN2 + DN4,2,-392.57
DN2 + DN4,3,-157.23
DN2 + DN4,4,298.43
DN2 + DN4,5,0.77
DN2 + DN4,6,-845.23
DN2 + DN4,7,-264.9
DN2 + DN4,8,-1542.9
DN2 + DN4,9,-677.9
DN2 + DN4,10,-441.9
DN2 + DN4,11,123.43
DN2 + DN4,12,943.1
DN2 + DN4,13,-5.23
DN2 + DN4,14,-249.23
DN2 + DN4,15,-1159.9
DN2 + DN4,16,-32.57
DN2 + DN4,17,2278.43
DN2 + DN4,18,-1618.23
DN2 + DN4,19,-2591.9
DN2 + DN4,20,-854.23
DN2 + DN4,21,148.77
DN2 + DN4,22,391.77
DN2 + DN4,23,670.43
