Sensor,Distance,Reading,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,10.0,2212,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,10.0,2216,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,10.0,2212,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2284,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2284,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2284,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2288,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2292,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2240,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2288,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2284,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2284,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,11,2284,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2312,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2312,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2312,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2316,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2312,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2324,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2324,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2324,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2320,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,12,2320,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2316,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2360,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2360,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2308,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2312,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2312,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2304,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2360,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,13,2320,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2356,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2356,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2356,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2344,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,14,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2344,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2352,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2348,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2348,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2348,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2348,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,15,2348,,,,,,,,,,,,,,,,,,,,,,,,,
